pruid,pt,cases_ytd,new_cases,last_onset_week
46,Manitoba,680,0,31
48,Alberta,311,0,22
59,British Columbia,49,0,29
35,Ontario,32,0,34
24,Quebec,31,0,26
12,Nova Scotia,10,0,6
47,Saskatchewan,5,0,6
13,New Brunswick,1,0,27
10,Newfoundland and Labrador,0,0,NA
61,Northwest Territories,0,0,NA
62,Nunavut,0,0,NA
11,Prince Edward Island,0,0,NA
60,Yukon,0,0,NA
