pruid,pt_name,num_new_cases,num_cases,last_onset_epi_week
48,Alberta,0,311,22
59,British Columbia,0,49,29
46,Manitoba,0,680,31
13,New Brunswick,0,1,27
10,Newfoundland and Labrador,0,0,
61,Northwest Territories,0,0,
12,Nova Scotia,0,10,6
62,Nunavut,0,0,
35,Ontario,0,32,34
11,Prince Edward Island,0,0,
24,Quebec,0,31,26
47,Saskatchewan,0,5,6
60,Yukon,0,0,
